%time,field.O_x,field.O_y,field.O_t,field.I_t,field.G_x,field.G_y
305,2.01487,-0.621217,0.332878,0.242896,1.89654,-0.698428
306,2.01979,-0.619585,0.332878,0.242707,1.94191,-0.678975
307,2.02765,-0.616766,0.332878,0.242845,1.99597,-0.655793
308,2.03394,-0.614508,0.332878,0.242826,1.99597,-0.655793
309,2.0561,-0.60746,0.332878,0.242436,1.99597,-0.655793
310,2.06983,-0.602806,0.332878,0.242769,1.99597,-0.655793
311,2.07496,-0.600994,0.332878,0.242684,1.99597,-0.655793
312,2.08273,-0.598296,0.332878,0.242311,1.99597,-0.655793
313,2.08727,-0.596717,0.332878,0.242255,2.00814,-0.652163
314,2.09519,-0.593968,0.332878,0.242212,2.02926,-0.64586
315,2.09959,-0.592439,0.332878,0.242435,2.02926,-0.64586
316,2.10775,-0.589605,0.332878,0.242557,2.02926,-0.64586
317,2.11732,-0.58632,0.332878,0.242561,2.02926,-0.64586
318,2.11966,-0.585523,0.332878,0.242542,2.02926,-0.64586
319,2.13133,-0.581556,0.332878,0.242327,2.02926,-0.64586
320,2.13471,-0.580406,0.332878,0.24227,2.02926,-0.64586
321,2.14263,-0.576954,0.332878,0.241901,2.02926,-0.64586
322,2.14571,-0.575611,0.332878,0.241822,2.05531,-0.63662
323,2.15412,-0.572746,0.331746,0.241711,2.12295,-0.612629
324,2.15989,-0.570787,0.331344,0.241564,2.12295,-0.612629
325,2.16572,-0.568805,0.331344,0.241591,2.12295,-0.612629
326,2.17615,-0.565256,0.331344,0.241412,2.12295,-0.612629
327,2.17737,-0.564842,0.331344,0.24138,2.12295,-0.612629
328,2.19043,-0.56026,0.331344,0.241496,2.12295,-0.612629
329,2.19314,-0.5593,0.331344,0.241456,2.12295,-0.612629
330,2.21567,-0.551475,0.331344,0.241337,2.15254,-0.611584
331,2.22612,-0.548285,0.331344,0.241439,2.15254,-0.611584
332,2.23095,-0.546861,0.331344,0.241613,2.15254,-0.611584
333,2.24476,-0.542,0.331344,0.240867,2.15254,-0.611584
334,2.24636,-0.541418,0.331344,0.240798,2.15254,-0.611584
335,2.26168,-0.535848,0.331344,0.240614,2.15254,-0.611584
336,2.26338,-0.535233,0.331344,0.240513,2.15254,-0.611584
337,2.27715,-0.530228,0.331344,0.240091,2.15254,-0.611584
338,2.28593,-0.527616,0.331344,0.240039,2.20622,-0.595272
339,2.29183,-0.52593,0.331344,0.24002,2.2425,-0.584246
340,2.30199,-0.522471,0.331344,0.240096,2.2425,-0.584246
341,2.30457,-0.521577,0.331344,0.240024,2.2425,-0.584246
